Code,Nationality,Link,Dish,Quality,Menu,IH,MC,Data Source,Origin,Count
1,Italian,http://www.yummly.com/recipe/Chicken-piccata-recipe-353536,Chicken-piccata-recipe-353536,180%,Chicken,Yes,Yes,,,1
2,Italian,http://www.yummly.com/recipe/Vegetable-soup-with-basil-pesto-353686?columns=undefined,Vegetable-soup-with-basil-pesto-353686,100%,Soup,Yes,Yes,,,1
3,Italian,http://www.yummly.com/recipe/Braised-Monkfish-with-Wild-Mushrooms-and-Cipollini-Onions-Martha-Stewart-192405?columns=undefined,Braised-Monkfish-with-Wild-Mushrooms-and-Cipollini-Onions-Martha-Stewart-192405,100%,Seafood,Yes,Yes,,,1
4,Italian,http://www.yummly.com/recipe/Smoked-Salmon-My-Recipes?columns=undefined,Smoked-Salmon-My-Recipes,101%,Seafood,Yes,Yes,,,1
5,Italian,http://www.yummly.com/recipe/Stuffed-green-peppers-with-brown-rice_-italian-sausage_-and-parmesan-309397?columns=4&position=19/36,Stuffed-green-peppers-with-brown-rice_-italian-sausage_-and-parmesan-309397,101%,Meat,Yes,Yes,,,1
6,Italian,http://www.yummly.com/recipe/Pasta-And-Mushrooms-With-Parmesan-Crumb-Topping-Epicurious?columns=undefined,Pasta-And-Mushrooms-With-Parmesan-Crumb-Topping-Epicurious,101%,Pasta,Yes,Yes,,,1
7,Italian,http://www.yummly.com/recipe/Chicken-Cacciatore-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41219?columns=4&position=98/108,Chicken-Cacciatore-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41219,102%,Chicken,Yes,Yes,,,1
8,Italian,http://www.yummly.com/recipe/Sriracha-Marinara-and-Meatballs-Martha-Stewart-194018,Sriracha-Marinara-and-Meatballs-Martha-Stewart-194018,123%,Pasta,Yes,Yes,,,1
9,American,http://www.yummly.com/recipe/Skirt-steak-with-chimichurri-sauce-341293?columns=undefined,Skirt-steak-with-chimichurri-sauce-341293,103%,Meat,Yes,Yes,,,1
10,Italian,http://www.yummly.com/recipe/Millefoglie-with-Grappa-Cream-and-Rhubarb-Epicurious-51694?columns=4&position=18/36,Millefoglie-with-Grappa-Cream-and-Rhubarb-Epicurious-51694,104%,Dessert,No,No,,,1
11,Italian,http://www.yummly.com/recipe/Potato-Canapes-Stuffed-with-Sour-Cream-and-Smoked-Trout-MyRecipes-247841?columns=undefined,Potato-Canapes-Stuffed-with-Sour-Cream-and-Smoked-Trout-MyRecipes-247841,105%,Antipasto,Yes,No,,,1
12,Italian,http://www.yummly.com/recipe/Rice-and-ham-croquettes-with-tomato-sauce-340007?columns=4&position=141/144,Rice-and-ham-croquettes-with-tomato-sauce-340007,105%,Antipasto,Yes,No,,,1
13,Italian,http://www.yummly.com/recipe/Framboise-lambic-beer-sorbetto-345120?columns=5&position=6%2F36,Framboise-lambic-beer-sorbetto-345120?columns=5&position=6%2F37,123%,Dessert,Yes,No,,,1
14,Italian,http://www.yummly.com/recipe/Fennel-slaw-with-3-c_s_-carrots_-clementines_-and-cucumbers-322112,Fennel-slaw-with-3-c_s_-carrots_-clementines_-and-cucumbers-322113,123%,Vegetable,Yes,No,,,1
15,Italian,http://www.yummly.com/recipe/Pizza-Rustica-MyRecipes-265593?columns=undefined,Pizza-Rustica-MyRecipes-265593,105%,Pizza,Yes,Yes,,,1
16,Italian,http://www.yummly.com/recipe/Vegetable-Lasagna-My-Recipes_2?columns=undefined,Vegetable-Lasagna-My-Recipes_2,105%,Lasagna,Yes,Yes,,,1
